14;25;25;25;25;25;25;25;14
6;7;6;6;6;6;6;6;6
14;25;24;12;2;1;1;1;31
14;25;24;24;14;24;24;25;14
2;2;2;1;25;25;63;24;24
31;1;1;1;15;24;24;25;14
14;25;1;1;15;25;25;25;14
31;24;24;12;12;6;6;3;3
14;25;25;25;14;25;25;25;14
14;25;25;25;30;24;24;25;14
0;14;27;27;27;31;27;27;0
0;15;27;27;15;27;27;15;0
0;6;11;3;3;3;11;6;0
0;15;27;27;27;27;27;15;0
0;15;3;3;15;3;3;15;0
0;15;3;3;15;3;3;3;0
0;14;27;3;27;27;27;30;0
0;27;27;27;31;27;27;27;0
0;3;3;3;3;3;3;3;0
0;07;6;6;6;6;6;3;0
0;19;27;15;7;15;27;19;0
0;3;3;3;3;3;3;15;0
0;99;119;127;107;99;99;99;0
0;51;55;63;59;51;51;51;0
0;14;27;27;27;27;27;14;0
0;15;27;27;27;15;3;3;0
0;14;27;27;27;27;27;14;0
0;15;27;27;27;15;27;27;0
0;14;27;3;14;24;27;14;0
0;15;6;6;6;6;6;6;0
0;27;27;27;27;27;27;14;0
0;27;27;27;27;27;14;4;0
0;99;99;99;107;127;119;99;0
0;27;27;14;4;14;27;27;0
0;51;51;30;12;12;12;12;0
0;31;24;12;6;3;3;31;0
0;0;0;0;15;0;0;0;0
0;0;0;0;0;0;0;3;3
13;13;13;0;0;0;0;0;0
0;14;27;27;27;31;27;27;0
0;6;11;3;3;3;11;6;0
0;15;3;3;15;3;3;15;0
0;3;3;3;3;3;3;15;0
0;51;55;63;59;51;51;51;0
0;14;27;27;27;27;27;14;0
0;14;27;3;14;24;27;14;0
0;31;24;12;6;3;3;31;0
0;31;24;12;6;3;3;31;0
