28;54;99;99;99;99;99;99;99;99;99;99;99;99;54;28
12;12;14;15;12;12;12;12;12;12;12;12;12;12;12;12
28;54;99;96;96;96;96;48;24;12;6;3;3;99;99;127
28;54;99;99;96;96;48;24;24;48;96;99;99;99;54;28
96;96;112;112;120;120;108;108;102;102;99;99;127;96;96;96
127;99;3;3;31;55;99;96;96;96;96;96;99;99;54;28
28;54;99;3;3;3;31;55;99;99;99;99;99;99;54;28
127;99;99;96;96;96;48;48;24;24;12;12;12;12;12;12
28;54;99;99;99;99;54;28;54;99;99;99;99;99;54;28
28;54;99;99;99;99;99;99;118;124;96;96;96;99;54;28
0;0;12;30;51;51;51;51;63;63;51;51;51;51;0;0
0;0;31;51;51;27;15;27;51;51;51;51;51;31;0;0
0;0;28;54;51;51;3;3;3;3;51;51;54;28;0;0
0;0;15;27;51;51;51;51;51;51;51;51;27;15;0;0
0;0;31;27;3;3;3;11;15;11;3;3;27;31;0;0
0;0;31;27;3;3;3;11;15;11;3;3;3;3;0;0
0;0;28;54;51;51;3;3;59;51;51;51;54;28;0;0
0;0;51;51;51;51;51;63;63;51;51;51;51;51;0;0
0;0;3;3;3;3;3;3;3;3;3;3;3;3;0;0
0;0;31;27;24;24;24;24;24;24;27;27;31;14;0;0
0;0;51;51;51;27;15;7;7;15;27;51;51;51;0;0
0;0;3;3;3;3;3;3;3;3;3;3;27;31;0;0
0;0;99;99;119;127;107;99;99;99;99;99;99;99;0;0
0;0;99;99;103;111;123;115;99;99;99;99;99;99;0;0
0;0;30;51;51;51;51;51;51;51;51;51;51;30;0;0
0;0;15;27;51;51;51;27;15;3;3;3;3;3;0;0
0;0;30;51;51;51;51;51;51;51;51;51;51;30;0;0
0;0;15;27;51;51;51;27;15;7;15;27;51;51;0;0
0;0;30;51;51;51;7;14;28;56;51;51;51;30;0;0
0;0;63;45;12;12;12;12;12;12;12;12;12;12;0;0
0;0;51;51;51;51;51;51;51;51;51;51;51;30;0;0
0;0;99;99;99;99;99;99;99;99;99;54;28;8;0;0
0;0;99;99;99;99;99;99;99;107;127;119;99;99;0;0
0;0;99;99;99;54;28;8;28;54;34;99;99;99;0;0
0;0;51;51;51;51;30;12;12;12;12;12;12;12;0;0
0;0;63;51;48;48;24;12;6;3;3;3;51;63;0;0
0;0;0;0;8;24;56;127;127;56;24;8;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;0
231;231;231;231;231;231;0;0;0;0;0;0;0;0;0;0
0;0;12;30;51;51;51;51;63;63;51;51;51;51;0;0
0;0;28;54;51;51;3;3;3;3;51;51;54;28;0;0
0;0;31;27;3;3;3;11;15;11;3;3;27;31;0;0
0;0;3;3;3;3;3;3;3;3;3;3;27;31;0;0
0;0;99;99;103;111;123;115;99;99;99;99;99;99;0;0
0;0;30;51;51;51;51;51;51;51;51;51;51;30;0;0
0;0;30;51;51;51;7;14;28;56;51;51;51;30;0;0
0;0;63;51;48;48;24;12;6;3;3;3;51;63;0;0
0;0;63;51;48;48;24;12;6;3;3;3;51;63;0;0
